Rank_no,Movie_name,Release_Year,Certificate,Runtime_in_min,Genre,Metascore,Gross_in_$_M,Rating_from_10,Gross_numeric,Primary_Genre,Synthetic_Review,VADER_Negative,VADER_Neutral,VADER_Positive,VADER_Compound,VADER_Sentiment,Genre_Encoded,Certificate_Encoded,Decade
1,The Shawshank Redemption,1994.0,R,142,Drama,81.0,28.34,9.3,28.34,Drama,The Shawshank Redemption is an absolute masterpiece! The drama elements are perfectly executed. A must-watch!,0.0,0.594,0.406,0.8715,Positive,6,12,1990.0
2,The Godfather,1972.0,R,175,"Crime, Drama",100.0,134.97,9.2,134.97,Crime,The Godfather is an absolute masterpiece! The crime elements are perfectly executed. A must-watch!,0.15,0.47,0.38,0.7494,Positive,5,12,1970.0
3,The Dark Knight,2008.0,PG-13,152,"Action, Crime, Drama",84.0,534.86,9.0,534.86,Action,This movie deserves all the praise. Incredible performances and a gripping action narrative.,0.0,0.769,0.231,0.5574,Positive,0,10,2000.0
4,The Lord of the Rings: The Return of the King,2003.0,PG-13,201,"Action, Adventure, Drama",94.0,377.85,9.0,377.85,Action,"Brilliant filmmaking at its finest. The direction, acting, and action storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,0,10,2000.0
5,Schindler's List,1993.0,R,195,"Biography, Drama, History",94.0,96.9,9.0,96.9,Biography,I was blown away by Schindler's List. One of the best biography movies I've ever seen.,0.0,0.781,0.219,0.6369,Positive,3,12,1990.0
6,The Godfather Part II,1974.0,R,202,"Crime, Drama",90.0,57.3,9.0,57.3,Crime,I was blown away by The Godfather Part II. One of the best crime movies I've ever seen.,0.148,0.675,0.177,0.1779,Positive,5,12,1970.0
7,12 Angry Men,1957.0,Approved,96,"Crime, Drama",96.0,4.36,9.0,4.36,Crime,I was blown away by 12 Angry Men. One of the best crime movies I've ever seen.,0.272,0.56,0.168,-0.3818,Negative,5,3,1950.0
8,777 Charlie,2022.0,UA,136,"Adventure, Comedy, Drama",80.0,,8.9,25.54,Adventure,This movie deserves all the praise. Incredible performances and a gripping adventure narrative.,0.0,0.651,0.349,0.7096,Positive,1,17,2020.0
9,Pulp Fiction,1994.0,R,154,"Crime, Drama",94.0,107.93,8.9,107.93,Crime,I was blown away by Pulp Fiction. One of the best crime movies I've ever seen.,0.161,0.645,0.194,0.1779,Positive,5,12,1990.0
10,Rocketry: The Nambi Effect,2022.0,UA,157,"Biography, Drama",80.0,,8.8,25.54,Biography,"Brilliant filmmaking at its finest. The direction, acting, and biography storytelling are top-notch.",0.0,0.759,0.241,0.5859,Positive,3,17,2020.0
